Name,Market Share,Units Sold,Last Revision Date,Stock Out,Pfmn,Size,Position Difference,Price,Price Difference,MTBF,MTBF Difference,Age,Age Difference,Promo Budget,Customer Awareness,Sales Budget,Customer Accessibility,Segment,Round,Position Out of Range,Price Out of Range,MTBF Out of Range,Age Out of Range,CSS
Better,0.13,406,4/26/2023,0,8.1,11.9,0.989949493661168,45.0,20.0,17000,6000,0.68,0.68,2000.0,0.7,3000.0,0.75,1,2,0,1,1,0,28.0
Far,0.09,276,6/29/2023,0,8.7,11.3,0.1414213562373115,45.0,20.0,17700,5300,0.5,0.5,1600.0,0.63,300.0,0.69,1,2,0,1,0,0,29.0
Eat,0.09,272,11/9/2022,0,5.3,14.7,4.949747468305834,33.5,8.5,20000,3000,3.12,3.12,1900.0,1.0,3000.0,0.72,1,2,1,0,0,1,7.0
Daze,0.09,271,6/20/2023,0,6.0,14.0,3.959797974644667,32.0,7.0,16000,7000,2.81,2.81,2000.0,0.84,3000.0,0.55,1,2,0,0,1,1,6.0
Eat+,0.09,271,7/19/2023,0,8.8,11.2,0.0,45.0,20.0,19000,4000,0.44,0.44,2000.0,0.7,3000.0,0.72,1,2,0,1,0,0,37.0
Fast,0.08,259,1/6/2023,0,5.7,14.3,4.384062043356596,34.0,9.0,18700,4300,3.25,3.25,1800.0,0.96,3000.0,0.69,1,2,1,0,0,1,8.0
Able,0.08,251,7/26/2022,0,5.8,14.2,4.242640687119286,31.99,6.989999999999998,17000,6000,3.26,3.26,2000.0,1.0,3000.0,0.72,1,2,1,0,1,1,7.0
Cake,0.08,244,7/12/2022,0,5.8,14.2,4.242640687119286,32.5,7.5,18000,5000,3.28,3.28,1800.0,0.97,1500.0,0.69,1,2,1,0,0,1,7.0
Cookie,0.08,242,7/12/2023,0,8.8,11.2,0.0,44.0,19.0,18000,5000,0.46,0.46,2000.0,0.7,1500.0,0.69,1,2,0,0,0,0,33.0
Actual,0.06,192,7/5/2023,1,8.8,11.2,0.0,44.99,19.990000000000002,17000,6000,0.48,0.48,2000.0,0.7,1500.0,0.72,1,2,0,0,1,0,30.0
Baker,0.2,1352,3/3/2023,1,6.2,14.0,0.3162277660168385,29.0,14.0,20000,0,3.11,0.10999999999999988,1400.0,1.0,3000.0,0.81,0,3,0,0,0,0,53.0
Able,0.18,1220,1/29/2024,0,5.8,14.2,0.7071067811865476,31.99,16.99,19000,1000,4.26,1.2599999999999998,1400.0,1.0,3000.0,0.77,0,3,0,0,0,1,30.0
Eat,0.17,1160,2/27/2025,0,5.3,14.7,1.4142135623730951,33.5,18.5,20000,0,4.12,1.12,1400.0,1.0,3000.0,0.77,0,3,0,0,0,1,28.0
Cake,0.16,1045,8/8/2024,0,6.6,13.4,0.4242640687119276,32.0,17.0,18000,2000,2.34,0.6600000000000001,1300.0,0.96,3000.0,0.66,0,3,0,0,0,0,31.0
Fast,0.15,1030,3/16/2025,0,5.7,14.3,0.8485281374238578,33.0,18.0,18700,1300,4.25,1.25,1500.0,1.0,2000.0,0.67,0,3,0,0,0,1,25.0
Daze,0.13,852,9/30/2024,1,6.8,13.2,0.7071067811865476,32.5,17.5,20000,0,2.03,0.9700000000000002,2000.0,1.0,2750.0,0.66,0,3,0,0,0,0,33.0
Cookie,0.0,7,7/12/2023,0,8.8,11.2,3.535533905932738,43.5,28.5,18000,2000,1.46,1.54,2000.0,0.92,1500.0,0.66,0,3,0,1,0,1,1.0
Eat+,0.15,564,7/19/2023,0,8.8,11.2,0.9899494936611656,45.0,20.0,19000,4000,1.44,1.44,2000.0,0.92,3000.0,0.83,1,3,0,1,0,1,29.0
Actual,0.14,541,7/13/2024,0,9.5,10.5,0.0,44.99,19.990000000000002,18500,4500,0.97,0.97,2000.0,0.92,1500.0,0.83,1,3,0,0,0,0,36.0
Far,0.14,539,7/26/2024,0,9.5,10.5,0.0,45.0,20.0,17500,5500,0.96,0.96,1900.0,0.86,2000.0,0.79,1,3,0,1,0,0,34.0
Cookie,0.14,513,7/12/2023,0,8.8,11.2,0.9899494936611656,43.5,18.5,18000,5000,1.46,1.46,2000.0,0.92,1500.0,0.8,1,3,0,0,0,1,26.0
Bravo,0.12,439,3/13/2024,0,9.2,10.8,0.4242640687119295,45.0,20.0,17000,6000,0.8,0.8,2000.0,0.7,3000.0,0.85,1,3,0,1,1,0,32.0
Better,0.09,350,7/17/2024,1,8.9,11.2,0.921954445729288,45.0,20.0,17000,6000,1.06,1.06,2000.0,0.92,1500.0,0.85,1,3,0,1,1,1,28.0
Baker,0.05,198,3/3/2023,1,6.2,14.0,4.810405388322277,29.0,4.0,20000,3000,3.11,3.11,1400.0,1.0,3000.0,0.85,1,3,1,0,0,1,11.0
Cake,0.04,151,8/8/2024,0,6.6,13.4,4.101219330881976,32.0,7.0,18000,5000,2.34,2.34,1300.0,0.96,3000.0,0.8,1,3,1,0,0,1,12.0
Dazzle,0.04,132,9/20/2024,1,9.5,10.5,0.0,45.0,20.0,17000,6000,0.27,0.27,2000.0,0.7,3000.0,0.72,1,3,0,1,1,0,33.0
Able,0.03,109,1/29/2024,0,5.8,14.2,5.232590180780451,31.99,6.989999999999998,19000,4000,4.26,4.26,1400.0,1.0,3000.0,0.83,1,3,1,0,0,1,4.0
Daze,0.03,109,9/30/2024,1,6.8,13.2,3.818376618407356,32.5,7.5,20000,3000,2.03,2.03,2000.0,1.0,2750.0,0.72,1,3,0,0,0,1,17.0
Fast,0.02,85,3/16/2025,0,5.7,14.3,5.374011537017761,33.0,8.0,18700,4300,4.25,4.25,1500.0,1.0,2000.0,0.79,1,3,1,0,0,1,3.0
Baker,0.18,1324,7/9/2025,1,7.0,13.0,0.2828427124746186,29.75,14.75,20000,0,2.29,0.71,1400.0,1.0,3000.0,0.85,0,4,0,0,0,0,51.0
Able,0.17,1249,5/23/2025,0,6.0,14.0,1.1313708498984765,29.5,14.5,20000,0,2.93,0.06999999999999984,1400.0,1.0,3000.0,0.83,0,4,0,0,0,0,48.0
Fast,0.16,1209,3/16/2025,0,7.1,12.9,0.4242640687119276,29.5,14.5,19000,1000,3.02,0.020000000000000018,1400.0,1.0,2600.0,0.73,0,4,0,0,0,0,46.0
Daze,0.16,1199,9/30/2024,0,6.8,13.2,0.0,32.5,17.5,20000,0,3.03,0.029999999999999805,1400.0,1.0,3000.0,0.76,0,4,0,0,0,0,46.0
Eat,0.15,1090,2/27/2025,0,6.8,13.2,0.0,34.5,19.5,20000,0,2.98,0.020000000000000018,1400.0,1.0,3000.0,0.85,0,4,0,0,0,0,41.0
Cake,0.14,1035,8/8/2024,0,6.6,13.4,0.2828427124746199,32.0,17.0,18000,2000,3.34,0.33999999999999986,1300.0,0.95,3000.0,0.77,0,4,0,0,0,0,35.0
Eat+,0.02,166,7/19/2023,0,8.8,11.2,2.8284271247461907,40.0,25.0,19000,1000,2.44,0.56,1800.0,1.0,1500.0,0.85,0,4,0,1,0,0,9.0
Active,0.01,64,3/8/2025,1,7.8,12.2,1.4142135623730951,35.0,20.0,17000,3000,0.81,2.19,2000.0,0.7,0.0,0.83,0,4,0,1,0,1,7.0
Cookie,0.01,44,7/12/2023,0,8.8,11.2,2.8284271247461907,43.5,28.5,18000,2000,2.46,0.54,1500.0,0.97,3000.0,0.77,0,4,0,1,0,0,2.0
Dazzle,0.12,548,5/13/2025,0,10.2,9.8,0.0,45.0,20.0,18000,5000,0.95,0.95,2000.0,0.92,3000.0,0.83,1,4,0,1,0,0,40.0
Bravo,0.12,522,5/21/2025,0,9.8,10.2,0.565685424949236,44.5,19.5,19500,3500,1.2,1.2,2000.0,0.92,1000.0,0.92,1,4,0,0,0,1,37.0
Actual,0.1,469,6/30/2025,0,10.2,9.8,0.0,44.99,19.990000000000002,19000,4000,1.24,1.24,1700.0,1.0,1500.0,0.78,1,4,0,0,0,1,35.0
Far,0.09,397,7/6/2025,0,10.2,9.8,0.0,44.5,19.5,18000,5000,1.22,1.22,1650.0,0.97,700.0,0.59,1,4,0,0,0,1,29.0
Elmo,0.09,387,3/16/2025,0,9.5,10.5,0.9899494936611656,45.0,20.0,20000,3000,0.79,0.79,2000.0,0.7,1500.0,0.87,1,4,0,1,0,0,32.0
Beam,0.08,376,3/8/2025,0,10.2,9.8,0.0,44.0,19.0,17000,6000,0.81,0.81,2000.0,0.7,2000.0,0.92,1,4,0,0,1,0,36.0
Eat+,0.07,331,7/19/2023,0,8.8,11.2,1.9798989873223312,40.0,15.0,19000,4000,2.44,2.44,1800.0,1.0,1500.0,0.87,1,4,0,0,0,1,16.0
Cookie,0.06,274,7/12/2023,0,8.8,11.2,1.9798989873223312,43.5,18.5,18000,5000,2.46,2.46,1500.0,0.97,3000.0,0.89,1,4,0,0,0,1,13.0
Fun,0.06,264,4/2/2025,0,10.0,10.0,0.282842712474618,45.0,20.0,17800,5200,0.75,0.75,1800.0,0.67,0.0,0.59,1,4,0,1,0,0,27.0
Daze,0.04,181,9/30/2024,0,6.8,13.2,4.808326112068522,32.5,7.5,20000,3000,3.03,3.03,1400.0,1.0,3000.0,0.83,1,4,1,0,0,1,9.0
Baker,0.04,176,7/9/2025,1,7.0,13.0,4.525483399593903,29.75,4.75,20000,3000,2.29,2.29,1400.0,1.0,3000.0,0.92,1,4,1,0,0,1,19.0
Fast,0.03,148,3/16/2025,0,7.1,12.9,4.384062043356594,29.5,4.5,19000,4000,3.02,3.02,1400.0,1.0,2600.0,0.59,1,4,1,0,0,1,11.0
Baker,0.2,1607,7/9/2025,0,7.0,13.0,0.4242640687119289,25.5,10.5,20000,0,3.29,0.29000000000000004,1385.0,1.0,3000.0,0.89,0,5,0,0,0,0,73.0
Able,0.16,1269,9/27/2026,0,7.0,13.0,0.4242640687119289,26.0,11.0,20000,0,2.09,0.9100000000000001,1400.0,1.0,1500.0,0.91,0,5,0,0,0,0,59.0
Daze,0.14,1171,4/2/2026,0,7.3,12.7,0.0,29.5,14.5,20000,0,2.39,0.6099999999999999,1400.0,1.0,3000.0,0.82,0,5,0,0,0,0,56.0
Fast,0.13,1096,7/11/2026,0,7.8,12.2,0.7071067811865476,29.5,14.5,20000,0,2.24,0.7599999999999998,1300.0,0.98,3000.0,0.81,0,5,0,0,0,0,51.0
Eat,0.13,1072,2/27/2025,0,6.8,13.2,0.7071067811865476,29.99,14.989999999999998,20000,0,3.98,0.98,1400.0,1.0,2500.0,0.92,0,5,0,0,0,0,43.0
Cake,0.1,841,8/8/2024,0,6.6,13.4,0.9899494936611675,28.95,13.95,18000,2000,4.34,1.3399999999999999,1600.0,1.0,2500.0,0.84,0,5,0,0,0,1,32.0
Eat+,0.07,555,7/19/2023,0,8.8,11.2,2.1213203435596433,35.0,20.0,19000,1000,3.44,0.43999999999999995,1400.0,1.0,2000.0,0.92,0,5,0,1,0,0,26.0
Active,0.04,360,3/8/2025,0,7.8,12.2,0.7071067811865476,35.0,20.0,17000,3000,1.81,1.19,2000.0,0.92,3000.0,0.91,0,5,0,1,0,1,22.0
Cookie,0.02,180,7/20/2026,0,8.0,12.0,0.9899494936611661,41.0,26.0,18000,2000,1.95,1.05,1500.0,1.0,2000.0,0.84,0,5,0,1,0,1,9.0
Elmo,0.0,5,11/9/2026,0,10.9,9.6,4.750789408087881,44.5,29.5,20000,0,0.96,2.04,2000.0,0.92,2000.0,0.92,0,5,1,1,0,1,0.0
